ArcID,Day,IsOpen,TrafficLimit,TrafficFlowed,TrafficSlack,Utilization,RiskScore
"20-bc",4,True,Infinity,0,Infinity,,0
"20-35",4,True,Infinity,0,Infinity,,0
"20-daegu",4,True,Infinity,0,Infinity,,0
"Pohang north",4,True,Infinity,0,Infinity,,0
"Ulsan-1",4,True,Infinity,0,Infinity,,0
"55-1",4,True,Infinity,0,Infinity,,0
"1-ab",4,True,Infinity,0,Infinity,,0
"1-bc",4,True,Infinity,0,Infinity,,0
"1-cd",4,True,Infinity,0,Infinity,,0
"1-de",4,True,Infinity,0,Infinity,,0
"1-ef",4,True,Infinity,0,Infinity,,0
"Yangsan-55",4,True,Infinity,0,Infinity,,0
"Pohang Northwest",4,True,Infinity,0,Infinity,,0
"Busan-Yangsan",4,True,Infinity,0,Infinity,,0
"Ulsan-Busan",4,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",4,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",4,True,Infinity,0,Infinity,,0
"Sea base",4,True,Infinity,0,Infinity,,0
"sea base to sea lane",4,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",4,True,Infinity,0,Infinity,,0
"sea lane ab",4,True,Infinity,0,Infinity,,0
"sea lane bc",4,False,Infinity,0,Infinity,,0
"sea lane into Pohang",4,False,Infinity,0,Infinity,,0
"northern sea lane",4,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",4,False,Infinity,0,Infinity,,0
"Yeongchon north",4,True,Infinity,0,Infinity,,0
"Yeongchon south",4,True,Infinity,0,Infinity,,0
"55-ab",5,True,Infinity,0,Infinity,,0
"55-bc",5,True,Infinity,363720,Infinity,,0
"55-cd",5,True,Infinity,363720,Infinity,,0
"55-de",5,True,Infinity,363720,Infinity,,0
"55-ef",5,True,Infinity,363720,Infinity,,0
"55fg",5,True,Infinity,363720,Infinity,,0
"55-gh",5,True,Infinity,363720,Infinity,,0
"55-hj",5,True,Infinity,363720,Infinity,,0
"55-jk",5,True,Infinity,0,Infinity,,0
"55-kl",5,True,Infinity,0,Infinity,,0
"55-lm",5,True,Infinity,0,Infinity,,0
"55 west of Daegu",5,True,Infinity,0,Infinity,,0
"55 east of Daegu",5,True,Infinity,0,Infinity,,0
"55-no",5,True,325000,0,325000,0,0
"55-op",5,True,Infinity,0,Infinity,,0
"55-pq",5,True,Infinity,0,Infinity,,0
"55-qr",5,True,Infinity,0,Infinity,,0
"55-rs",5,True,Infinity,0,Infinity,,0
"55-st",5,True,Infinity,0,Infinity,,0
"55-tu",5,True,Infinity,0,Infinity,,0
"55-uv",5,True,Infinity,0,Infinity,,0
"55 near Gimhae",5,True,Infinity,0,Infinity,,0
"10-a",5,True,Infinity,0,Infinity,,0
"10-b",5,True,Infinity,0,Infinity,,0
"10-c",5,True,Infinity,0,Infinity,,0
"Andong-55",5,True,Infinity,363720,Infinity,,0
"35 east of Andong",5,True,Infinity,425064.24,Infinity,,0
"35ab",5,True,Infinity,425064.24,Infinity,,0
"35bc",5,True,Infinity,425064.24,Infinity,,0
"35cd",5,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",5,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",5,True,Infinity,0,Infinity,,0
"20 west Pohang",5,True,Infinity,0,Infinity,,0
"20-bc",5,True,Infinity,0,Infinity,,0
"20-35",5,True,Infinity,0,Infinity,,0
"20-daegu",5,True,Infinity,0,Infinity,,0
"Pohang north",5,True,Infinity,0,Infinity,,0
"Ulsan-1",5,True,Infinity,0,Infinity,,0
"55-1",5,True,Infinity,0,Infinity,,0
"1-ab",5,True,Infinity,0,Infinity,,0
"1-bc",5,True,Infinity,0,Infinity,,0
"1-cd",5,True,Infinity,0,Infinity,,0
"1-de",5,True,Infinity,0,Infinity,,0
"1-ef",5,True,Infinity,0,Infinity,,0
"Yangsan-55",5,True,Infinity,0,Infinity,,0
"Pohang Northwest",5,True,Infinity,0,Infinity,,0
"Busan-Yangsan",5,True,Infinity,0,Infinity,,0
"Ulsan-Busan",5,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",5,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",5,True,Infinity,0,Infinity,,0
"Sea base",5,True,Infinity,0,Infinity,,0
"sea base to sea lane",5,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",5,True,Infinity,0,Infinity,,0
"sea lane ab",5,True,Infinity,0,Infinity,,0
"sea lane bc",5,False,Infinity,0,Infinity,,0
"sea lane into Pohang",5,False,Infinity,0,Infinity,,0
"northern sea lane",5,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",5,False,Infinity,0,Infinity,,0
"Yeongchon north",5,True,Infinity,0,Infinity,,0
"Yeongchon south",5,True,Infinity,0,Infinity,,0
"55-ab",6,True,Infinity,0,Infinity,,0
"55-bc",6,True,Infinity,606200,Infinity,,0
"55-cd",6,True,Infinity,606200,Infinity,,0
"55-de",6,True,Infinity,606200,Infinity,,0
"55-ef",6,True,Infinity,606200,Infinity,,0
"55fg",6,True,Infinity,606200,Infinity,,0
"55-gh",6,True,Infinity,606200,Infinity,,0
"55-hj",6,True,Infinity,606200,Infinity,,0
"55-jk",6,True,Infinity,0,Infinity,,0
"55-kl",6,True,Infinity,0,Infinity,,0
"55-lm",6,True,Infinity,0,Infinity,,0
"55 west of Daegu",6,True,Infinity,0,Infinity,,0
"55 east of Daegu",6,True,Infinity,0,Infinity,,0
"55-no",6,True,325000,0,325000,0,0
"55-op",6,True,Infinity,0,Infinity,,0
"55-pq",6,True,Infinity,0,Infinity,,0
"55-qr",6,True,Infinity,0,Infinity,,0
"55-rs",6,True,Infinity,0,Infinity,,0
"55-st",6,True,Infinity,0,Infinity,,0
"55-tu",6,True,Infinity,0,Infinity,,0
"55-uv",6,True,Infinity,0,Infinity,,0
"55 near Gimhae",6,True,Infinity,0,Infinity,,0
"10-a",6,True,Infinity,0,Infinity,,0
"10-b",6,True,Infinity,0,Infinity,,0
"10-c",6,True,Infinity,0,Infinity,,0
"Andong-55",6,True,Infinity,606200,Infinity,,0
"35 east of Andong",6,True,Infinity,425254.08,Infinity,,0
"35ab",6,True,Infinity,425254.08,Infinity,,0
"35bc",6,True,Infinity,425254.08,Infinity,,0
"35cd",6,True,Infinity,425254.08,Infinity,,0
"55-Gyeongbuk",6,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",6,True,Infinity,0,Infinity,,0
"20 west Pohang",6,True,Infinity,176282.318355799,Infinity,,0
"20-bc",6,True,Infinity,176282.318355799,Infinity,,0
"20-35",6,True,Infinity,0,Infinity,,0
"20-daegu",6,True,Infinity,0,Infinity,,0
"Pohang north",6,True,Infinity,0,Infinity,,0
"Ulsan-1",6,True,Infinity,0,Infinity,,0
"55-1",6,True,Infinity,0,Infinity,,0
"1-ab",6,True,Infinity,0,Infinity,,0
"1-bc",6,True,Infinity,0,Infinity,,0
"1-cd",6,True,Infinity,0,Infinity,,0
"1-de",6,True,Infinity,0,Infinity,,0
"1-ef",6,True,Infinity,0,Infinity,,0
"Yangsan-55",6,True,Infinity,0,Infinity,,0
"Pohang Northwest",6,True,Infinity,0,Infinity,,0
"Busan-Yangsan",6,True,Infinity,0,Infinity,,0
"Ulsan-Busan",6,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",6,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",6,True,Infinity,0,Infinity,,0
"Sea base",6,True,Infinity,0,Infinity,,0
"sea base to sea lane",6,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",6,True,Infinity,0,Infinity,,0
"sea lane ab",6,True,Infinity,0,Infinity,,0
"sea lane bc",6,False,Infinity,0,Infinity,,0
"sea lane into Pohang",6,False,Infinity,0,Infinity,,0
"northern sea lane",6,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",6,False,Infinity,0,Infinity,,0
"Yeongchon north",6,True,Infinity,0,Infinity,,0
"Yeongchon south",6,True,Infinity,0,Infinity,,0
"55-ab",7,True,Infinity,0,Infinity,,0
"55-bc",7,True,Infinity,565400,Infinity,,0
"55-cd",7,True,Infinity,565400,Infinity,,0
