TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-442,-631,4,"SEA BASE","CH-53K","Default",20000,19200,"FUEL",759.367822345821,0,56.9525866759366,5,2.07100315185224,0.414200630370448,False
-443,-641,5,"ANDONG SUPPLY DEPOT","Mtruck","Default",150000,120000,"FUEL",1101.91780107703,0,73.4611867384684,15,47.3879308433805,3.1591953895587,False
-444,-641,5,"ANDONG SUPPLY DEPOT","Htruck","Default",48250,38600,"FUEL",440.767120430811,0,73.4611867384684,3,11.0946494236007,3.69821647453357,False
-445,-642,5,"ANDONG SUPPLY DEPOT","Htruck","Default",122000,97600,"FUEL",997.816558864166,0,71.2726113474405,7,24.3555125480154,3.47935893543078,False
-446,-643,5,"ANDONG SUPPLY DEPOT","Htruck","Default",180044,144035.2,"FUEL",1170.76564687711,0,58.5382823438553,10,36.9136113744777,3.69136113744777,False
-447,-644,5,"BSA SUPPLY POINT","Mtruck","Default",145080,116064,"FUEL",85.1080386442467,0,5.67386924294978,15,8.51080386442467,0.567386924294978,False
-448,-645,5,"BSA SUPPLY POINT","Mtruck","Default",104808.457215609,83846.7657724873,"FUEL",26.4347457466853,0,2.40315870424412,11,2.64347457466853,0.240315870424412,False
-449,-646,5,"ANDONG SUPPLY DEPOT","Htruck","Default",68200,54560,"FUEL",457.825558490151,0,57.2281948112689,4,14.2414095367565,3.56035238418912,False
-450,-647,5,"ANDONG SUPPLY DEPOT","Htruck","Default",35360,35360,"FUEL",587.689493907748,0,73.4611867384684,4,14.7928658981343,3.69821647453357,False
-451,-648,5,"ANDONG SUPPLY DEPOT","Htruck","Default",21760,21760,"FUEL",285.090445389762,0,71.2726113474405,2,6.95871787086155,3.47935893543078,False
-452,-649,5,"ANDONG SUPPLY DEPOT","Htruck","Default",65512,65512,"FUEL",702.459388126264,0,58.5382823438553,6,22.1481668246866,3.69136113744777,False
-453,-650,5,"ANDONG SUPPLY DEPOT","Htruck","Default",32500,31200,"FUEL",293.844746953874,0,73.4611867384684,2,7.39643294906715,3.69821647453357,False
-454,-653,5,"ANDONG SUPPLY DEPOT","Htruck","Default",93024,89303.04,"FUEL",585.382823438553,0,58.5382823438553,5,18.4568056872388,3.69136113744777,False
-455,-654,5,"ANDONG SUPPLY DEPOT","Htruck","Default",20000,19200,"FUEL",285.090445389762,0,71.2726113474405,2,6.95871787086155,3.47935893543078,False
-456,-655,5,"ANDONG SUPPLY DEPOT","Htruck","Default",37400,37400,"FUEL",457.825558490151,0,57.2281948112689,4,14.2414095367565,3.56035238418912,False
-457,-657,5,"ANDONG SUPPLY DEPOT","Htruck","Default",35681.25,34254,"FUEL",228.912779245075,0,57.2281948112689,2,7.12070476837824,3.56035238418912,False
-458,-659,5,"SEA BASE","CH-53K","Default",221239.8416418,176991.87331344,"FUEL",8760.1583581999,0,58.6617747200886,56,23.8913409769088,0.426631088873372,False
-459,-668,6,"ANDONG SUPPLY DEPOT","Mtruck","Default",274500,219600,"FUEL",2055.90226432591,0,73.4250808687825,28,88.3563744725231,3.15558480259011,False
-460,-669,6,"ANDONG SUPPLY DEPOT","Mtruck","Default",100000,80000,"FUEL",729.235454741605,0,72.9235454741605,10,31.054312631279,3.1054312631279,False
-461,-669,6,"ANDONG SUPPLY DEPOT","Htruck","Default",159250,127400,"FUEL",1312.62381853489,0,72.9235454741605,9,32.800071132925,3.64445234810278,False
-462,-670,6,"ANDONG SUPPLY DEPOT","Htruck","Default",217948,174358.4,"FUEL",2144.33628915548,0,89.3473453814785,12,61.0486694085763,5.08738911738136,False
-463,-671,6,"BSA SUPPLY POINT","Mtruck","Default",108810,87048,"FUEL",442.98278681449,0,40.2711624376809,11,22.8599577953766,2.07817798139788,False
-464,-672,6,"BSA SUPPLY POINT","Mtruck","Default",130791.542784391,104633.234227513,"FUEL",517.954395276556,0,36.996742519754,14,24.5103038544726,1.75073598960518,False
-465,-673,6,"ANDONG SUPPLY DEPOT","Htruck","Default",79360,63488,"FUEL",929.375808131121,0,92.9375808131121,5,27.2320633027236,5.44641266054473,False
-466,-674,6,"ANDONG SUPPLY DEPOT","Htruck","Default",48960,48960,"FUEL",734.250808687825,0,73.4250808687825,5,18.4730294378249,3.69460588756498,False
-467,-675,6,"ANDONG SUPPLY DEPOT","Htruck","Default",46240,46240,"FUEL",729.235454741605,0,72.9235454741605,5,18.2222617405139,3.64445234810278,False
-468,-676,6,"ANDONG SUPPLY DEPOT","Htruck","Default",79304,79304,"FUEL",1250.8628353407,0,89.3473453814785,7,35.6117238216695,5.08738911738136,False
-469,-677,6,"ANDONG SUPPLY DEPOT","Htruck","Default",45000,43200,"FUEL",440.550485212695,0,73.4250808687825,3,11.083817662695,3.69460588756498,False
-470,-678,6,"BSA SUPPLY POINT","Mtruck","Default",65925,65925,"FUEL",442.98278681449,0,40.2711624376809,11,22.8599577953766,2.07817798139788,False
-471,-679,6,"BSA SUPPLY POINT","Mtruck","Default",44075,44075,"FUEL",258.977197638278,0,36.996742519754,7,12.2551519272363,1.75073598960518,False
