TransportDeliveryID,ArcID
-580,"20-35"
-580,"Yeongchon north"
-582,"20 west Pohang"
-582,"20-bc"
-582,"20-35"
-582,"Yeongchon north"
-583,"20 west Pohang"
-583,"20-bc"
-583,"20-35"
-585,"35 east of Andong"
-585,"35ab"
-585,"35bc"
-585,"35cd"
-586,"35 east of Andong"
-586,"35ab"
-586,"35bc"
-586,"35cd"
-588,"35 east of Andong"
-588,"35ab"
-588,"35bc"
-588,"35cd"
-590,"35 east of Andong"
-590,"35ab"
-590,"35bc"
-590,"35cd"
-592,"20-daegu"
-592,"55 east of Daegu"
-592,"55-no"
-592,"55-op"
-592,"55-pq"
-593,"20-daegu"
-593,"55 east of Daegu"
-593,"55-no"
-593,"55-op"
-593,"55-pq"
-593,"55-qr"
-594,"20-daegu"
-594,"55 east of Daegu"
-594,"55-no"
-594,"55-op"
-594,"55-pq"
-594,"55-qr"
-596,"Yeongchon north"
-596,"Yeongchon south"
-596,"1-bc"
-596,"1-cd"
-597,"20 west Pohang"
-597,"20-bc"
-597,"20-35"
-597,"Yeongchon north"
-598,"20 west Pohang"
-598,"20-bc"
-598,"20-35"
-599,"Yeongchon north"
-599,"Yeongchon south"
-599,"1-bc"
-599,"1-cd"
-600,"Yeongchon north"
-600,"Yeongchon south"
-600,"1-bc"
-600,"1-cd"
-600,"1-de"
-600,"1-ef"
-600,"Yangsan-55"
-600,"55-uv"
-600,"55-tu"
-600,"55-st"
-600,"55-rs"
-600,"55-qr"
-601,"Yeongchon north"
-601,"Yeongchon south"
-601,"1-bc"
-601,"1-cd"
-601,"1-de"
-601,"1-ef"
-601,"Yangsan-55"
-601,"55-uv"
-601,"55-tu"
-601,"55-st"
-601,"55-rs"
-602,"Yeongchon north"
-602,"Yeongchon south"
-602,"1-bc"
-602,"1-cd"
-603,"20 west Pohang"
-603,"20-bc"
-603,"20-35"
-604,"20 west Pohang"
-604,"20-bc"
-604,"20-35"
-604,"Yeongchon north"
-605,"Yeongchon north"
-605,"Yeongchon south"
-605,"1-bc"
-605,"1-cd"
-605,"1-de"
-605,"1-ef"
-605,"Yangsan-55"
-605,"55-uv"
-605,"55-tu"
-605,"55-st"
-605,"55-rs"
-605,"55-qr"
-606,"Yeongchon north"
-606,"Yeongchon south"
-606,"1-bc"
-606,"1-cd"
-608,"20 west Pohang"
-608,"20-bc"
-608,"20-35"
-608,"Yeongchon north"
-609,"20 west Pohang"
-609,"20-bc"
-609,"20-35"
-611,"35 east of Andong"
-611,"35ab"
-611,"35bc"
-611,"35cd"
-612,"35 east of Andong"
-612,"35ab"
-612,"35bc"
-612,"35cd"
-615,"35 east of Andong"
-615,"35ab"
-615,"35bc"
-615,"35cd"
-617,"20-daegu"
-617,"55 east of Daegu"
-617,"55-no"
-617,"55-op"
-617,"55-pq"
-617,"55-qr"
-618,"20-daegu"
-618,"55 east of Daegu"
-618,"55-no"
-618,"55-op"
-618,"55-pq"
-618,"55-qr"
-619,"20-daegu"
-619,"55 east of Daegu"
-619,"55-no"
-619,"55-op"
-619,"55-pq"
-619,"55-qr"
-621,"Yeongchon north"
-621,"Yeongchon south"
-621,"1-bc"
-621,"1-cd"
-621,"1-de"
-622,"20 west Pohang"
-622,"20-bc"
-622,"20-35"
-622,"Yeongchon north"
-623,"20 west Pohang"
-623,"20-bc"
-623,"20-35"
-624,"Yeongchon north"
-624,"Yeongchon south"
-624,"1-bc"
-624,"1-cd"
-624,"1-de"
-625,"Yeongchon north"
-625,"Yeongchon south"
-625,"1-bc"
-625,"1-cd"
-625,"1-de"
-625,"1-ef"
-625,"Yangsan-55"
-625,"55-uv"
-625,"55-tu"
-625,"55-st"
-625,"55-rs"
-626,"Yeongchon north"
-626,"Yeongchon south"
-626,"1-bc"
-626,"1-cd"
-626,"1-de"
-626,"1-ef"
-626,"Yangsan-55"
-626,"55-uv"
-626,"55-tu"
-626,"55-st"
-626,"55-rs"
-627,"Yeongchon north"
-627,"Yeongchon south"
-627,"1-bc"
-627,"1-cd"
-627,"1-de"
-628,"20 west Pohang"
-628,"20-bc"
-628,"20-35"
-629,"20 west Pohang"
-629,"20-bc"
-629,"20-35"
-629,"Yeongchon north"
-630,"20 west Pohang"
-630,"20-bc"
-630,"20-35"
-630,"Yeongchon north"
-631,"20 west Pohang"
-631,"20-bc"
-631,"20-35"
-632,"35 east of Andong"
-632,"35ab"
-632,"35bc"
-632,"35cd"
-633,"35 east of Andong"
-633,"35ab"
-633,"35bc"
-633,"35cd"
-635,"35 east of Andong"
-635,"35ab"
-635,"35bc"
-635,"35cd"
-636,"35 east of Andong"
-636,"35ab"
-636,"35bc"
-636,"35cd"
-638,"20-daegu"
-638,"55 east of Daegu"
-638,"55-no"
-638,"55-op"
-638,"55-pq"
-638,"55-qr"
-638,"55-rs"
-639,"20-daegu"
-639,"55 east of Daegu"
-639,"55-no"
-639,"55-op"
-639,"55-pq"
-639,"55-qr"
-639,"55-rs"
-641,"Yeongchon north"
-641,"Yeongchon south"
-641,"1-bc"
-641,"1-cd"
-641,"1-de"
-642,"20 west Pohang"
-642,"20-bc"
-642,"20-35"
-642,"Yeongchon north"
-643,"20 west Pohang"
-643,"20-bc"
-643,"20-35"
-644,"Yeongchon north"
-644,"Yeongchon south"
-644,"1-bc"
-644,"1-cd"
-644,"1-de"
-645,"Yeongchon north"
-645,"Yeongchon south"
-645,"1-bc"
-645,"1-cd"
-645,"1-de"
-645,"1-ef"
-645,"Yangsan-55"
-645,"55-uv"
-645,"55-tu"
-645,"55-st"
-646,"Yeongchon north"
-646,"Yeongchon south"
-646,"1-bc"
-646,"1-cd"
-646,"1-de"
-646,"1-ef"
-646,"Yangsan-55"
-646,"55-uv"
-646,"55-tu"
-646,"55-st"
-647,"Yeongchon north"
-647,"Yeongchon south"
-647,"1-bc"
-647,"1-cd"
-647,"1-de"
-648,"20 west Pohang"
-648,"20-bc"
-648,"20-35"
-649,"20 west Pohang"
-649,"20-bc"
-649,"20-35"
-649,"Yeongchon north"
-650,"Yeongchon north"
-650,"Yeongchon south"
-650,"1-bc"
-650,"1-cd"
-650,"1-de"
-650,"1-ef"
-650,"Yangsan-55"
-650,"55-uv"
-650,"55-tu"
-650,"55-st"
-651,"Andong-55"
-651,"55-bc"
-651,"55-cd"
-651,"55-de"
-651,"55-ef"
-651,"55fg"
-651,"55-gh"
-651,"55-hj"
-651,"55-jk"
-651,"55-kl"
-651,"55-lm"
-651,"55 west of Daegu"
-651,"55 east of Daegu"
-651,"55-1"
-651,"1-ab"
-651,"1-bc"
-651,"1-cd"
-651,"1-de"
-651,"1-ef"
-651,"Yangsan-55"
-651,"55-uv"
-651,"55-tu"
-651,"55-st"
-652,"20 west Pohang"
-652,"20-bc"
-652,"20-35"
-652,"Yeongchon north"
-653,"20 west Pohang"
-653,"20-bc"
-653,"20-35"
-654,"35 east of Andong"
-654,"35ab"
-654,"35bc"
-654,"35cd"
-655,"35 east of Andong"
-655,"35ab"
-655,"35bc"
-655,"35cd"
-658,"20-daegu"
-658,"55 east of Daegu"
-658,"55-no"
-658,"55-op"
-658,"55-pq"
-658,"55-qr"
-658,"55-rs"
-658,"55-st"
-659,"20-daegu"
-659,"55 east of Daegu"
-659,"55-no"
-659,"55-op"
-659,"55-pq"
-659,"55-qr"
-659,"55-rs"
-659,"55-st"
-660,"20-daegu"
-660,"55 east of Daegu"
-660,"55-no"
-660,"55-op"
-660,"55-pq"
-660,"55-qr"
-660,"55-rs"
-660,"55-st"
-662,"Yeongchon north"
-662,"Yeongchon south"
-662,"1-bc"
-662,"1-cd"
-662,"1-de"
-663,"20 west Pohang"
-663,"20-bc"
-663,"20-35"
-663,"Yeongchon north"
